"gene_id","log2FC","pval"
"ENSG00000173320",-1.80675405417554,2.35250587510631e-33
"ENSG00000137285",-2.61452649922,2.43754167194467e-33
"ENSG00000136628",0.962979426209333,2.72369509622066e-33
"ENSG00000198053",-1.24124474777464,2.73011850058799e-33
"ENSG00000154473",0.967799259809575,2.82668602881973e-33
"ENSG00000114378",-1.91106757972,2.83626006794678e-33
"ENSG00000197852",-1.43097814321818,2.98260936323478e-33
"ENSG00000163882",0.839706647341449,3.21761008880961e-33
"ENSG00000162444",-2.41268922256765,3.30108541909375e-33
"ENSG00000227591",-4.30610854687865,3.33247772318503e-33
"ENSG00000136002",-1.97754517305059,3.42044142017371e-33
"ENSG00000238099",-3.24142104867611,3.52680203212622e-33
"ENSG00000272505",-2.20275622579719,3.57291080310521e-33
"ENSG00000044574",0.834254490064438,3.84434741040414e-33
"ENSG00000137872",-2.01230427117813,3.92118205804875e-33
"ENSG00000173391",2.73025872493887,3.95135598243802e-33
"ENSG00000132182",2.01340905991258,4.31522323787015e-33
"ENSG00000261490",-1.76616641380624,4.45875714962119e-33
"ENSG00000163467",1.58527071847331,4.49077658549127e-33
"ENSG00000188486",1.57725928844343,4.99510977273601e-33
"ENSG00000236333",-5.80646686246308,5.40572236601923e-33
"ENSG00000095713",-2.7605862322631,5.92082213414115e-33
"ENSG00000169760",-3.04407996207638,6.07840826649092e-33
"ENSG00000185420",1.40382168933672,8.25294335298608e-33
"ENSG00000272734",-1.69839546960701,9.12091050059738e-33
"ENSG00000136522",0.869185857160127,9.65736709995651e-33
"ENSG00000100883",0.780877031265053,1.03088703126755e-32
"ENSG00000168159",0.905945871964833,1.05104238540672e-32
"ENSG00000226891",-2.04480715110492,1.06745385539742e-32
"ENSG00000180423",0.758441736131288,1.13591292252539e-32
"ENSG00000037241",0.947197704575152,1.13652096691971e-32
"ENSG00000130635",2.22229325114713,1.42797066717063e-32
"ENSG00000151276",-0.964409039125881,1.49828772941284e-32
"ENSG00000246430",-3.38811339267876,1.50167271802243e-32
"ENSG00000130653",-1.57554490352204,1.52713474433257e-32
"ENSG00000107611",-1.56305167889156,1.55953544343884e-32
"ENSG00000086717",3.31107014859466,1.6459720297847e-32
"ENSG00000049541",0.955827974089247,1.6974529418342e-32
"ENSG00000161835",-1.5745854401631,1.73115610001046e-32
"ENSG00000006634",1.12767992710877,1.85035643681301e-32
"ENSG00000260633",-2.14421583753912,1.98125743732907e-32
"ENSG00000165799",-3.58185059861358,1.98386834547508e-32
"ENSG00000143368",0.925768428724203,1.98538372643889e-32
"ENSG00000073969",1.01086169349875,1.98700529013277e-32
"ENSG00000139151",-3.73309727078639,2.2032459211576e-32
"ENSG00000166173",-1.74398326384871,2.23706866206047e-32
"ENSG00000184347",-2.0387351484449,2.27423879675554e-32
"ENSG00000168275",1.05588180601133,2.44474829242097e-32
"ENSG00000267543",-1.56314394640707,2.49805198698918e-32
"ENSG00000109265",3.10445423478246,3.0758321385286e-32
"ENSG00000171302",1.15247586740635,3.09738984428718e-32
"ENSG00000276550",-1.43692540719556,3.10837882179e-32
"ENSG00000003436",-1.83261214906744,3.12805738836633e-32
"ENSG00000152583",-1.62055896204203,3.15087531551003e-32
"ENSG00000165186",-3.92444533277899,3.31378484869081e-32
"ENSG00000187134",-3.90094919295567,4.19659199445111e-32
"ENSG00000139734",2.22207907161143,5.55854653795213e-32
"ENSG00000224957",-2.86189938321224,5.73817362634779e-32
"ENSG00000138018",1.16766996293679,6.99139168378918e-32
"ENSG00000162706",-3.27598636159733,7.28372705996043e-32
"ENSG00000091651",2.18190177659434,8.87853806298906e-32
"ENSG00000160404",1.0044975321893,9.83625070944834e-32
"ENSG00000117632",1.46940674236974,9.99506824961348e-32
"ENSG00000232528",-2.89085205754217,1.02687512907326e-31
"ENSG00000154370",1.13887014315306,1.17948757055675e-31
"ENSG00000267107",-1.61759851946663,1.2235081764912e-31
"ENSG00000259070",-2.12868670236572,1.26208648869851e-31
"ENSG00000163840",0.965371641156357,1.26219972951108e-31
"ENSG00000077684",-1.02166925092083,1.35344637250838e-31
"ENSG00000141696",1.44036648305613,1.42441646699929e-31
"ENSG00000134627",-1.4567778864735,1.43664173158894e-31
"ENSG00000152904",0.853013605157134,1.48912550009629e-31
"ENSG00000185803",1.48177500560767,1.49645010022491e-31
"ENSG00000182263",-2.1950174490758,1.5596923377018e-31
"ENSG00000155016",-1.11766605353488,1.57694770550462e-31
"ENSG00000189369",-1.46017137881627,1.58248994746486e-31
"ENSG00000205038",-3.68222815062902,1.61902136618092e-31
"ENSG00000135775",0.833381017101124,1.78207365793242e-31
"ENSG00000235387",-2.19445108809253,1.92737048872321e-31
"ENSG00000143344",-1.28182625384563,1.96901064387372e-31
"ENSG00000280739",-1.10070604091589,1.97748528709502e-31
"ENSG00000180769",-1.29441812988215,2.14576564336548e-31
"ENSG00000173040",-1.33473389920117,2.15424052905791e-31
"ENSG00000255471",-2.62403240952294,2.19439567860777e-31
"ENSG00000101331",-1.52263614737456,2.2623243379986e-31
"ENSG00000263155",-2.90192264493144,2.48199164669003e-31
"ENSG00000279010",-2.34724467114448,2.48271796696164e-31
"ENSG00000104371",-2.97512268166017,2.57174603550847e-31
"ENSG00000102760",-1.44591025754109,2.57205292425912e-31
"ENSG00000118705",0.884574117761578,2.67220291735483e-31
"ENSG00000150048",-1.48499822381161,2.71731978232613e-31
"ENSG00000213071",-1.59008165145636,2.85543732459304e-31
"ENSG00000064300",-2.88854224986497,2.92738411614406e-31
"ENSG00000182983",-1.70693626854154,3.07144029402221e-31
"ENSG00000104044",-3.42387192544592,3.42089434752653e-31
"ENSG00000131730",-2.23248392143716,3.57456681109923e-31
"ENSG00000140876",-1.44316345629708,3.75113546279193e-31
"ENSG00000278828",3.4865075040649,3.85287295831224e-31
"ENSG00000171368",-2.01941245053821,4.15603550042385e-31
"ENSG00000138346",1.60135315423689,4.88229978546886e-31
"ENSG00000164305",0.801143722229485,5.16580334216574e-31
"ENSG00000165410",-1.6107028059595,5.20160711999999e-31
"ENSG00000008226",-1.67518106226658,5.33043320978227e-31
"ENSG00000174576",-2.61457888793509,5.81226324513811e-31
